cod;nome;período;valor
3505351;"Barra do Chapéu";2017;0
2925600;"Presidente Dutra";2017;3
3530300;Mirassol;2017;8
2925501;Prado;2017;20
2925402;Potiraguá;2017;3
2303501;Cascavel;2017;44
2111102;"São João dos Patos";2017;2
2925303;"Porto Seguro";2017;147
1707207;"Dois Irmãos do Tocantins";2017;2
2925253;"Ponto Novo";2017;6
2925204;Pojuca;2017;38
2303600;Catarina;2017;5
4304663;"Capão do Leão";2017;9
2925105;Poções;2017;30
1200328;Jordão;2017;2
2925006;Planalto;2017;11
2924900;Planaltino;2017;1
2303659;Catunda;2017;4
4103453;Cafelândia;2017;4
2924801;Piritiba;2017;2
1707108;"Divinópolis do Tocantins";2017;0
2924702;Piripá;2017;0
2924678;"Piraí do Norte";2017;5
2303709;Caucaia;2017;327
4308201;"Flores da Cunha";2017;2
2924652;Pintadas;2017;1
2924603;Pindobaçu;2017;5
2924504;Pindaí;2017;0
2924405;"Pilão Arcado";2017;8
2303808;Cedro;2017;4
3505302;"Barra Bonita";2017;2
1707009;Dianópolis;2017;9
1500404;Alenquer;2017;4
2924306;Piatã;2017;1
2924207;"Pedro Alexandre";2017;3
2303907;Chaval;2017;1
4317756;"Santo Antônio do Planalto";2017;1
2924108;Pedrão;2017;4
3505203;Bariri;2017;1
2924058;"Pé de Serra";2017;2
2924009;"Paulo Afonso";2017;49
2303931;Choró;2017;1
3505104;Barbosa;2017;1
2923902;"Pau Brasil";2017;6
1706506;Darcinópolis;2017;1
2923803;Paripiranga;2017;7
2923704;Paratinga;2017;6
2303956;Chorozinho;2017;21
4317806;"Santo Augusto";2017;7
1100114;Jaru;2017;15
2923605;Paramirim;2017;3
2923506;Palmeiras;2017;2
2923407;"Palmas de Monte Alto";2017;2
2304004;Coreaú;2017;11
4103479;"Cafezal do Sul";2017;0
1706258;"Crixás do Tocantins";2017;1
2923357;Ourolândia;2017;7
2923308;Ouriçangas;2017;1
2923209;"Oliveira dos Brejinhos";2017;7
2304103;Crateús;2017;31
3546256;"Santa Cruz da Esperança";2017;0
2923100;Olindina;2017;15
2923050;"Novo Triunfo";2017;3
2923035;"Novo Horizonte";2017;1
1706100;Cristalândia;2017;3
2304202;Crato;2017;60
2106003;"Lima Campos";2017;2
2923001;"Nova Viçosa";2017;24
1500503;Almeirim;2017;10
2922904;"Nova Soure";2017;9
2922854;"Nova Redenção";2017;0
2304236;Croatá;2017;4
3505005;"Barão de Antonina";2017;0
2922805;"Nova Itarana";2017;3
3537305;Penápolis;2017;2
2922755;"Nova Ibiá";2017;1
2922730;"Nova Fátima";2017;3
2304251;Cruz;2017;7
4304655;"Capão do Cipó";2017;2
1706001;"Couto Magalhães";2017;0
2922706;"Nova Canaã";2017;3
2922656;Nordestina;2017;4
2922607;"Nilo Peçanha";2017;6
2304269;"Deputado Irapuan Pinheiro";2017;3
4103503;Califórnia;2017;3
1200302;Feijó;2017;16
1100403;"Alto Paraíso";2017;11
2922508;Nazaré;2017;15
2922409;Mutuípe;2017;10
2304277;Ererê;2017;0
3530201;"Mirante do Paranapanema";2017;1
2922300;Muritiba;2017;25
2922250;"Muquém de São Francisco";2017;2
1705607;"Conceição do Tocantins";2017;2
2922201;"Muniz Ferreira";2017;1
2304285;Eusébio;2017;56
3504909;Bananal;2017;0
2922102;"Mundo Novo";2017;2
2922052;"Mulungu do Morro";2017;12
2922003;Mucuri;2017;23
2921906;Mucugê;2017;1
2304301;"Farias Brito";2017;10
4317905;"Santo Cristo";2017;1
1705557;Combinado;2017;2
1500602;Altamira;2017;149
2921807;Mortugaba;2017;0
2921708;"Morro do Chapéu";2017;16
2304350;Forquilha;2017;10
2112803;Viana;2017;31
2921609;Morpará;2017;3
3504800;Bálsamo;2017;0
2921500;"Monte Santo";2017;12
2921450;Mirante;2017;0
2304400;Fortaleza;2017;2145
4312054;"Marques de Souza";2017;0
2921401;Mirangaba;2017;1
1705508;"Colinas do Tocantins";2017;10
2921302;Milagres;2017;7
2921203;"Miguel Calmon";2017;8
2304459;Fortim;2017;8
4103602;Cambará;2017;2
2921104;"Medeiros Neto";2017;11
1302108;Japurá;2017;0
2921054;Matina;2017;4
2921005;"Mata de São João";2017;37
2304509;Frecheirinha;2017;4
3504701;Balbinos;2017;1
