cod;nome;período;valor
4216305;"São João Batista";2013;4
1301159;"Careiro da Várzea";2013;0
2309409;"Novo Oriente";2013;5
1505502;Paragominas;2013;32
4321709;"Três Coroas";2013;1
2103208;Chapadinha;2013;12
2932606;Urandi;2013;1
4216354;"São João do Itaperiú";2013;0
5214408;Nazário;2013;0
2309300;"Nova Russas";2013;0
3506805;Bocaina;2013;2
4216404;"São João do Sul";2013;0
2309201;"Nova Olinda";2013;2
4216503;"São Joaquim";2013;0
2932507;Una;2013;6
4321667;"Três Cachoeiras";2013;0
2103257;Cidelândia;2013;2
3120805;Cruzília;2013;0
2309102;Mulungu;2013;4
4216602;"São José";2013;22
2309003;Mucambo;2013;0
4216701;"São José do Cedro";2013;0
2308906;Morrinhos;2013;2
4216800;"São José do Cerrito";2013;1
2308807;Moraújo;2013;0
3159506;"Santa Rita do Itueto";2013;0
4321634;"Três Arroios";2013;0
2103307;Codó;2013;10
3134608;Jaboticatubas;2013;2
4216909;"São Lourenço do Oeste";2013;1
2308708;"Morada Nova";2013;36
4217006;"São Ludgero";2013;0
2308609;"Monsenhor Tabosa";2013;1
4217105;"São Martinho";2013;0
2308500;Mombaça;2013;17
4217154;"São Miguel da Boa Vista";2013;0
3200169;"Água Doce do Norte";2013;0
4321626;Travesseiro;2013;0
2103406;"Coelho Neto";2013;9
3506904;Bofete;2013;0
2308401;"Missão Velha";2013;14
4217204;"São Miguel do Oeste";2013;1
1301100;Careiro;2013;2
2308377;Miraíma;2013;0
4217253;"São Pedro de Alcântara";2013;1
5214507;Nerópolis;2013;2
2308351;Milhã;2013;1
2932457;Umburanas;2013;0
4321600;Tramandaí;2013;11
2103505;Colinas;2013;4
3507001;Boituva;2013;1
4217303;Saudades;2013;0
2308302;Milagres;2013;3
4217402;Schroeder;2013;0
2308203;Meruoca;2013;0
4217501;Seara;2013;0
2308104;Mauriti;2013;0
4217550;"Serra Alta";2013;0
3120706;"Cruzeiro da Fortaleza";2013;0
4321501;Torres;2013;4
2103554;"Conceição do Lago-Açu";2013;0
1503101;Gurupá;2013;1
2308005;Massapê;2013;0
4217600;Siderópolis;2013;0
2307908;Martinópole;2013;0
4217709;Sombrio;2013;0
2307809;Marco;2013;3
4217758;"Sul Brasil";2013;0
2307700;Maranguape;2013;34
2932408;Uibaí;2013;0
4321493;Toropi;2013;0
2103604;Coroatá;2013;6
3507100;"Bom Jesus dos Perdões";2013;1
4217808;Taió;2013;0
2307650;Maracanaú;2013;153
4217907;Tangará;2013;0
2307635;Madalena;2013;0
4217956;Tigrinhos;2013;1
1301001;Carauari;2013;0
2307601;"Limoeiro do Norte";2013;27
3124906;Eugenópolis;2013;1
4321477;"Tiradentes do Sul";2013;0
2103703;Cururupu;2013;1
3159407;"Santa Rita de Ibitipoca";2013;0
4218004;Tijucas;2013;5
5214606;Niquelândia;2013;8
2307502;"Lavras da Mangabeira";2013;2
4218103;"Timbé do Sul";2013;0
2307403;Jucás;2013;4
4218202;Timbó;2013;0
2307304;"Juazeiro do Norte";2013;90
3134707;Jacinto;2013;1
4321469;"Tio Hugo";2013;0
2103752;Davinópolis;2013;2
3165800;"Senador José Bento";2013;0
4218251;"Timbó Grande";2013;1
2307254;"Jijoca de Jericoacoara";2013;0
4218301;"Três Barras";2013;2
5204300;Caçu;2013;3
2307205;Jati;2013;0
4218350;Treviso;2013;0
2307106;Jardim;2013;1
2932309;Ubatã;2013;4
4321451;Teutônia;2013;0
2103802;"Dom Pedro";2013;4
3507159;"Bom Sucesso de Itararé";2013;0
4218400;"Treze de Maio";2013;0
2307007;Jaguaruana;2013;16
4218509;"Treze Tílias";2013;1
5219100;"Santa Bárbara de Goiás";2013;0
2306900;Jaguaribe;2013;9
4218608;"Trombudo Central";2013;0
2306801;Jaguaribara;2013;6
2932200;Ubaitaba;2013;5
4321436;"Terra de Areia";2013;0
