cod;nome;período;valor
3502309;Anhembi;2013;1
1301159;"Careiro da Várzea";2013;1
1502756;"Concórdia do Pará";2013;18
4109708;Ibaiti;2013;7
3502408;Anhumas;2013;0
2309458;Ocara;2013;6
4109658;"Honório Serpa";2013;0
4109609;Guaratuba;2013;13
2309508;Orós;2013;7
2605004;Cupira;2013;13
5100607;"Alto Taquari";2013;2
3502507;Aparecida;2013;7
2906006;"Campo Formoso";2013;10
4109500;Guaraqueçaba;2013;0
2309607;Pacajus;2013;31
2604908;Cumaru;2013;2
4109401;Guarapuava;2013;58
3502606;"Aparecida d'Oeste";2013;1
1506195;Rurópolis;2013;5
4109302;Guaraniaçu;2013;3
2309706;Pacatuba;2013;40
3502705;Apiaí;2013;2
3117702;"Conceição do Rio Verde";2013;1
4109203;Guaraci;2013;1
2309805;Pacoti;2013;6
2604809;Cortês;2013;1
4109104;Guaporema;2013;0
3502754;Araçariguama;2013;6
5100508;"Alto Paraguai";2013;1
4109005;Guapirama;2013;0
2309904;Pacujá;2013;0
3141504;"Mendes Pimentel";2013;0
2916807;Itarantim;2013;3
1400100;"Boa Vista";2013;125
4108957;Guamiranga;2013;3
5100409;"Alto Garças";2013;2
2310001;Palhano;2013;1
2604700;Correntes;2013;4
4108908;Guairaçá;2013;2
3502804;Araçatuba;2013;24
1506203;Salinópolis;2013;16
4108809;Guaíra;2013;22
2310100;Palmácia;2013;4
5209952;Indiara;2013;9
3502903;"Araçoiaba da Serra";2013;1
4108700;"Grandes Rios";2013;0
2310209;Paracuru;2013;12
4108650;Goioxim;2013;5
2604601;Condado;2013;7
2921906;Mucugê;2013;2
4108601;Goioerê;2013;3
2310258;Paraipaba;2013;10
3503000;Aramina;2013;0
5100359;"Alto Boa Vista";2013;0
2905909;"Campo Alegre de Lourdes";2013;3
4108551;"Godoy Moreira";2013;0
2310308;Parambu;2013;3
2604502;"Chã Grande";2013;2
1301209;Coari;2013;22
4108502;"General Carneiro";2013;2
3503109;Arandu;2013;0
1506302;Salvaterra;2013;3
4108452;"Foz do Jordão";2013;0
2310407;Paramoti;2013;0
3503158;Arapeí;2013;0
4108403;"Francisco Beltrão";2013;17
3141603;Mercês;2013;2
2310506;"Pedra Branca";2013;26
3129806;Ibirité;2013;65
5100300;"Alto Araguaia";2013;2
4108320;"Francisco Alves";2013;3
2604403;"Chã de Alegria";2013;2
4108304;"Foz do Iguaçu";2013;119
2310605;Penaforte;2013;3
3503208;Araraquara;2013;18
5204102;"Cachoeira Alta";2013;1
4108205;"Formosa do Oeste";2013;2
5100250;"Alta Floresta";2013;12
2310704;Pentecoste;2013;28
3141702;Mesquita;2013;0
2604304;Cedro;2013;2
1506351;"Santa Bárbara do Pará";2013;3
4108106;Flórida;2013;0
3503307;Araras;2013;16
